,popup,Plant state abbreviation_x,lat,lon,Plant state abbreviation_y,plant_annual_generation,state_annual_generation,perc_gen_state
0,Agrium Kenai Nitrogen Operations,AK,60.6732,-151.3784,AK,0,6595656.0,0.0
1,Alakanuk,AK,62.6833,-164.6544,AK,0,6595656.0,0.0
2,Allison Creek Hydro,AK,61.084444,-146.353333,AK,17551,6595656.0,0.2660993842007527
3,Ambler,AK,67.08798,-157.856719,AK,1298,6595656.0,0.0196796194343671
4,Angoon,AK,57.499166,-134.58614,AK,1740,6595656.0,0.0263809998580884
5,Aniak,AK,61.580678,-159.535643,AK,2280,6595656.0,0.0345682067105986
6,Annex Creek,AK,58.3176,-134.101,AK,25982,6595656.0,0.3939259415591111
7,Auke Bay,AK,58.3875,-134.6446,AK,-353,6595656.0,-0.0053520074424742
8,Aurora Energy LLC Chena,AK,64.847743,-147.735063,AK,177115,6595656.0,2.685328040152488
9,Barrow,AK,71.292,-156.7786,AK,47328,6595656.0,0.7175631961400049
10,Battery Energy Storage System,AK,64.8167,-147.725,AK,-3433,6595656.0,-0.052049409490125
11,Beaver Falls,AK,55.37975,-131.470269,AK,48190,6595656.0,0.7306324041156785
12,Beluga,AK,61.1861,-151.0356,AK,2044,6595656.0,0.0309900940861682
13,Bernice Lake,AK,60.6935,-151.3874,AK,783,6595656.0,0.0118714499361397
14,Bethel,AK,60.7897,-161.787778,AK,43092,6595656.0,0.6533391068303138
15,Black Bear Lake,AK,55.476472,-133.14772,AK,22727,6595656.0,0.3445752780314801
16,Blue Lake Hydro,AK,57.0516,-135.2297,AK,77838,6595656.0,1.1801403833068311
17,Bradley Lake,AK,59.77862,-150.94015,AK,391018,6595656.0,5.928417127879319
18,Brevig Mission,AK,65.331716,-166.479506,AK,1260,6595656.0,0.0191034826558571
19,Centennial,AK,55.121433,-131.560267,AK,760,6595656.0,0.0115227355701995
20,Chester Lake,AK,55.116879,-131.545879,AK,3601,6595656.0,0.0545965405109059
21,Chevak,AK,61.525297,-165.590152,AK,2560,6595656.0,0.0388134250785668
22,Cooper Lake,AK,60.392331,-149.665603,AK,36380,6595656.0,0.5515751579524463
23,Craig (AK),AK,55.47691,-133.14869,AK,322,6595656.0,0.0048820011231634
24,Delta Power,AK,64.028056,-145.719444,AK,-121,6595656.0,-0.0018345407947291
25,Delta Wind Farm,AK,64.013889,-145.596667,AK,3652,6595656.0,0.055369776713643
26,Dillingham,AK,59.042914,-158.468597,AK,18548,6595656.0,0.2812153938895539
27,Dutch Harbor,AK,53.892459,-166.538185,AK,45651,6595656.0,0.6921373704147092
28,Eielson AFB Central Heat & Power Plant,AK,64.67141,-147.075988,AK,73952,6595656.0,1.1212228169571004
29,Eklutna Generation Station,AK,61.457778,-149.351389,AK,678550,6595656.0,10.287831869945917
30,Eklutna Hydro Project,AK,61.475211,-149.15009,AK,139994,6595656.0,2.122518215019097
31,Elim,AK,64.616558,-162.263717,AK,1353,6595656.0,0.0205135016137894
32,Emmonak,AK,62.777694,-164.531517,AK,5927,6595656.0,0.089862175953385
33,ESS Battery Microgrid,AK,57.799167,-152.404167,AK,-246,6595656.0,-0.0037297275661435
34,Eva Creek Wind,AK,64.058333,-148.9,AK,56648,6595656.0,0.8588683218166624
35,Eyak Service Center BESS,AK,60.54047,-145.74079,AK,-85,6595656.0,-0.0012887270045617
36,Fairbanks,AK,64.854171,-147.719351,AK,9024,6595656.0,0.1368173234019482
37,False Island,AK,55.48918,-133.1345,AK,696,6595656.0,0.0105523999432353
38,Fire Island Wind,AK,61.13,-150.243611,AK,41759,6595656.0,0.6331288350999507
39,Flywheel Energy Storage System Microgrid,AK,57.780114,-152.443783,AK,-291,6595656.0,-0.0044119948038527
40,Fort Greely Power Plant,AK,63.973572,-145.716581,AK,58,6595656.0,0.0008793666619362
41,Galena Electric Utility,AK,64.74417,-156.8736,AK,4953,6595656.0,0.075094880630524
42,Gambell,AK,63.777058,-171.712439,AK,2176,6595656.0,0.0329914113167818
43,George M Sullivan Generation Plant 2,AK,61.229713,-149.716744,AK,761371,6595656.0,11.54352197870841
44,Glennallen,AK,62.110415,-145.532529,AK,8488,6595656.0,0.1286907625261232
45,Goat Lake Hydro,AK,59.5357,-135.2123,AK,14473,6595656.0,0.2194323051414446
46,Gold Creek,AK,58.3107,-134.4174,AK,5419,6595656.0,0.0821601369143569
47,Green Lake,AK,56.986284,-135.12275,AK,41550,6595656.0,0.6299600828181458
48,Gustavus,AK,58.419497,-135.70737,AK,468,6595656.0,0.0070955792721755
49,Gwitchyaa Zhee,AK,66.566287,-145.253052,AK,2544,6595656.0,0.0385708411718258
50,Haines,AK,59.235931,-135.446228,AK,1387,6595656.0,0.0210289924156141
51,Hank Nikkels Plant 1,AK,61.2221,-149.8661,AK,2251,6595656.0,0.0341285233796304
52,Hiilangaay Hydro,AK,55.216389,-132.603611,AK,1663,6595656.0,0.0252135648068971
53,Hoonah,AK,58.106432,-135.43074,AK,3417,6595656.0,0.0518068255833839
54,Hooper Bay,AK,61.530858,-166.101944,AK,3635,6595656.0,0.0551120313127306
